"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"13.500","2 +
                          1","105 m²","26
                        at Age","1. Floor","Manisa / Akhisar / Hürriyet Mah."
"19.000","2 +
                          1","135 m²","23
                        at Age","4. Floor","Manisa / Şehzadeler / Ahmet Bedevi Mah."
"14.000","3 +
                          1","125 m²","21
                        at Age","4. Floor","Manisa / Akhisar / Kethüda Mah."
"19.000","3 +
                          1","110 m²","33
                        at Age","6. Floor","Manisa / Yunusemre / Mutlu Mah."
"16.000","2 +
                          1","95 m²","1
                        at Age","Raised Ground Floor","Manisa / Yunusemre / Muradiye Mah."
"19.000","2 +
                          1","130 m²","11
                        at Age","4. Floor","Manisa / Yunusemre / Muradiye Mah."
"50.000","2 +
                          1","100 m²","New Property","3. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"20.000","2 +
                          1","105 m²","New Property","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"12.000","2 +
                          1","110 m²","20
                        at Age","Ground","Manisa / Turgutlu / Yiğitler Mah."
"18.000","2 +
                          1","85 m²","5
                        at Age","1. Floor","Manisa / Turgutlu / Subaşı Mah."
"22.000","2 +
                          1","80 m²","6
                        at Age","2. Floor","Manisa / Salihli / Mithatpaşa Mah."
"21.000","2 +
                          0","105 m²","3
                        at Age","Middle Floor","Manisa / Turgutlu / Ergenekon Mah."
"22.000","2 +
                          1","80 m²","New Property","Raised Ground Floor","Manisa / Yunusemre / Muradiye Mah."
"20.000","1 +
                          1","50 m²","New Property","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"20.000","1 +
                          1","65 m²","2
                        at Age","1. Floor","Manisa / Yunusemre / Muradiye Mah."
"16.500","2 +
                          1","110 m²","4
                        at Age","2. Floor","Manisa / Akhisar / Cumhuriyet Mah."
"25.000","3 +
                          1","115 m²","15
                        at Age","1. Floor","Manisa / Akhisar / Paşa Mah."
"16.000","4 +
                          1","140 m²","31
                        at Age","4. Floor","Manisa / Akhisar / Reşat Bey Mah."
"25.000","3 +
                          1","110 m²","1
                        at Age","3. Floor","Manisa / Yunusemre / Keçili Köy Mah."
"65.000","4 +
                          1","180 m²","New Property","7. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"15.000","2 +
                          1","100 m²","15
                        at Age","1. Floor","Manisa / Salihli / Kırveli Mah."
